Supplier Name,Supply Address,Supplier Address,Supplier Suburb/Town,Supplier Postcode,Product,Variant,Variant Weight - quant,Quantity,Reserve,Distributor,Delivery Address,Distributor address,Distributor Suburb/Town,Distributor postcode,Shipping instructions,Moving at
Great West,"96 Black Range Road, Romsey, VIC 3434",96 Black Range Road,Romsey,3434,Olive Oil (Bulk) - 4L Cans and 20L Drums (from . . ),Quantity (L): 4L (can),4,1,3.2,Murrnong (Violet Town),"4446 Murchison Rd,  Violet Town , VIC 3669",4446 Murchison Rd, Violet Town ,3669,,01/11/2015 01:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Mixed (per kg),,1,47,47,Surrey Hills,"11 Thornton Avenue, Surrey Hills, VIC 3127",11 Thornton Avenue,Surrey Hills,3127,,02/11/2015 02:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Reed (per kg),Quantity (kg): 1kg,1,10,3,LO ,"16 Barkly Street, Brunswick East, VIC 3058",16 Barkly Street,Brunswick East,3058,,03/11/2015 03:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Mixed (per kg),,1,13,13,Murrnong (Violet Town),"4446 Murchison Rd,  Violet Town , VIC 3669",4446 Murchison Rd, Violet Town ,3669,,04/11/2015 04:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Reed (per kg),Quantity (kg): 1kg,1,35,28,Murundaka (Heidelberg),"42 Bamfield Street, Heidelberg Heights, VIC 3081",42 Bamfield Street,Heidelberg Heights,3081,,05/11/2015 05:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Reed (per kg),Quantity (kg): 1kg,1,3,2.4,Northcote Bulk Foods Coop :),"131 Separation Stree, Northcote, VIC 3070",131 Separation Stree,Northcote,3070,,06/11/2015 06:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Currants (per 500g),,0.5,4,1.6,Northcote Bulk Foods Coop :),"131 Separation Stree, Northcote, VIC 3070",131 Separation Stree,Northcote,3070,,07/11/2015 07:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Reed (per kg),Quantity (kg): 5kg,4,43,40,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,,08/11/2015 08:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Avocados - Reed (per kg),Quantity (kg): 5kg,4,21,20,Westlake,"14 Hunter Street, Brusnwick West, VIC 3055",14 Hunter Street,Brusnwick West,3055,,09/11/2015 09:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Young Garlic (bunch),,0.5,3,1.2,Murundaka (Heidelberg),"42 Bamfield Street, Heidelberg Heights, VIC 3081",42 Bamfield Street,Heidelberg Heights,3081,,10/11/2015 10:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Young Onion (bunch),,0.5,1,0.4,Murundaka (Heidelberg),"42 Bamfield Street, Heidelberg Heights, VIC 3081",42 Bamfield Street,Heidelberg Heights,3081,,11/11/2015 11:00:00
AB Organics,"884 Sandilong Avenue, Irymple, VIC 3498",884 Sandilong Avenue,Irymple,3498,Young Garlic (bunch),,0.5,40,15,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,,12/11/2015 12:00:00
CD Friendly Farm,"849 Sandilong Avenue, Irymple, VIC 3498",849 Sandilong Avenue,Irymple,3498,Oranges - Navel (per kg),,1,50,20,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,,13/11/2015 13:00:00
Dame Phyllis Frost,"106-162 Riding Boundary Road, Ravenhall, VIC 3040",106-162 Riding Boundary Road,Ravenhall,3040,Lettuce  ,,0.5,60,20,PepperTree Place (Coburg),"512 Sydney Road, Coburg, VIC 3058",512 Sydney Road,Coburg,3058,,14/11/2015 14:00:00
